t,state,state_idx
110,"[0,585)",0
111,"[3510,4095]",6
112,"[3510,4095]",6
113,"[3510,4095]",6
114,"[1755,2340)",3
115,"[1755,2340)",3
116,"[1170,1755)",2
117,"[1170,1755)",2
118,"[1170,1755)",2
119,"[1170,1755)",2
120,"[1755,2340)",3
121,"[1170,1755)",2
122,"[1170,1755)",2
123,"[1170,1755)",2
124,"[1170,1755)",2
125,"[3510,4095]",6
126,"[3510,4095]",6
127,"[3510,4095]",6
128,"[3510,4095]",6
129,"[3510,4095]",6
130,"[3510,4095]",6
131,"[3510,4095]",6
132,"[3510,4095]",6
133,"[1755,2340)",3
134,"[3510,4095]",6
135,"[3510,4095]",6
136,"[3510,4095]",6
137,"[3510,4095]",6
138,"[3510,4095]",6
139,"[3510,4095]",6
140,"[3510,4095]",6
141,"[3510,4095]",6
142,"[3510,4095]",6
143,"[3510,4095]",6
144,"[3510,4095]",6
145,"[1170,1755)",2
146,"[1170,1755)",2
147,"[1170,1755)",2
148,"[1170,1755)",2
149,"[1170,1755)",2
150,"[1170,1755)",2
151,"[3510,4095]",6
152,"[3510,4095]",6
153,"[3510,4095]",6
154,"[3510,4095]",6
155,"[3510,4095]",6
156,"[3510,4095]",6
157,"[1170,1755)",2
158,"[1170,1755)",2
159,"[1170,1755)",2
160,"[1170,1755)",2
161,"[2925,3510)",5
162,"[1755,2340)",3
163,"[3510,4095]",6
164,"[3510,4095]",6
165,"[3510,4095]",6
166,"[3510,4095]",6
167,"[3510,4095]",6
168,"[3510,4095]",6
169,"[3510,4095]",6
170,"[3510,4095]",6
171,"[3510,4095]",6
172,"[3510,4095]",6
173,"[3510,4095]",6
174,"[3510,4095]",6
175,"[3510,4095]",6
176,"[3510,4095]",6
177,"[3510,4095]",6
178,"[3510,4095]",6
179,"[1170,1755)",2
180,"[585,1170)",1
181,"[585,1170)",1
182,"[585,1170)",1
183,"[585,1170)",1
184,"[585,1170)",1
185,"[585,1170)",1
186,"[585,1170)",1
187,"[585,1170)",1
188,"[1170,1755)",2
189,"[1170,1755)",2
190,"[1170,1755)",2
191,"[1170,1755)",2
192,"[585,1170)",1
193,"[1170,1755)",2
194,"[1170,1755)",2
195,"[585,1170)",1
196,"[585,1170)",1
197,"[585,1170)",1
198,"[585,1170)",1
199,"[585,1170)",1
200,"[0,585)",0
201,"[0,585)",0
202,"[0,585)",0
203,"[0,585)",0
204,"[0,585)",0
205,"[0,585)",0
206,"[0,585)",0
207,"[0,585)",0
208,"[0,585)",0
209,"[0,585)",0
210,"[0,585)",0
211,"[0,585)",0
212,"[0,585)",0
213,"[0,585)",0
214,"[3510,4095]",6
215,"[3510,4095]",6
216,"[3510,4095]",6
217,"[3510,4095]",6
218,"[3510,4095]",6
219,"[3510,4095]",6
220,"[1755,2340)",3
221,"[3510,4095]",6
222,"[3510,4095]",6
223,"[3510,4095]",6
224,"[3510,4095]",6
225,"[3510,4095]",6
226,"[3510,4095]",6
227,"[3510,4095]",6
228,"[3510,4095]",6
229,"[3510,4095]",6
230,"[3510,4095]",6
231,"[3510,4095]",6
232,"[3510,4095]",6
233,"[3510,4095]",6
234,"[3510,4095]",6
235,"[3510,4095]",6
236,"[3510,4095]",6
237,"[3510,4095]",6
238,"[3510,4095]",6
239,"[3510,4095]",6
240,"[3510,4095]",6
241,"[3510,4095]",6
242,"[3510,4095]",6
243,"[3510,4095]",6
244,"[3510,4095]",6
245,"[3510,4095]",6
246,"[3510,4095]",6
247,"[3510,4095]",6
248,"[3510,4095]",6
249,"[3510,4095]",6
250,"[3510,4095]",6
251,"[1755,2340)",3
252,"[2340,2925)",4
253,"[3510,4095]",6
254,"[3510,4095]",6
255,"[3510,4095]",6
256,"[3510,4095]",6
257,"[1170,1755)",2
258,"[3510,4095]",6
259,"[3510,4095]",6
260,"[3510,4095]",6
261,"[3510,4095]",6
262,"[3510,4095]",6
263,"[3510,4095]",6
264,"[3510,4095]",6
265,"[3510,4095]",6
266,"[3510,4095]",6
267,"[3510,4095]",6
268,"[3510,4095]",6
269,"[3510,4095]",6
270,"[3510,4095]",6
271,"[3510,4095]",6
272,"[3510,4095]",6
273,"[3510,4095]",6
274,"[3510,4095]",6
275,"[3510,4095]",6
276,"[3510,4095]",6
277,"[3510,4095]",6
278,"[3510,4095]",6
279,"[3510,4095]",6
280,"[3510,4095]",6
281,"[3510,4095]",6
282,"[3510,4095]",6
283,"[3510,4095]",6
284,"[3510,4095]",6
285,"[3510,4095]",6
286,"[3510,4095]",6
287,"[3510,4095]",6
288,"[3510,4095]",6
289,"[3510,4095]",6
290,"[3510,4095]",6
291,"[3510,4095]",6
292,"[3510,4095]",6
293,"[3510,4095]",6
294,"[3510,4095]",6
295,"[3510,4095]",6
296,"[3510,4095]",6
297,"[3510,4095]",6
298,"[3510,4095]",6
299,"[3510,4095]",6
300,"[3510,4095]",6
301,"[3510,4095]",6
302,"[3510,4095]",6
303,"[3510,4095]",6
304,"[3510,4095]",6
305,"[3510,4095]",6
306,"[3510,4095]",6
307,"[3510,4095]",6
308,"[3510,4095]",6
309,"[3510,4095]",6
310,"[3510,4095]",6
311,"[3510,4095]",6
312,"[3510,4095]",6
313,"[3510,4095]",6
314,"[3510,4095]",6
315,"[3510,4095]",6
316,"[3510,4095]",6
317,"[3510,4095]",6
318,"[3510,4095]",6
319,"[3510,4095]",6
320,"[3510,4095]",6
321,"[3510,4095]",6
322,"[3510,4095]",6
323,"[3510,4095]",6
324,"[3510,4095]",6
325,"[3510,4095]",6
326,"[3510,4095]",6
327,"[3510,4095]",6
328,"[3510,4095]",6
329,"[3510,4095]",6
330,"[3510,4095]",6
331,"[3510,4095]",6
332,"[3510,4095]",6
333,"[3510,4095]",6
334,"[3510,4095]",6
335,"[3510,4095]",6
336,"[3510,4095]",6
337,"[3510,4095]",6
338,"[3510,4095]",6
339,"[3510,4095]",6
340,"[3510,4095]",6
341,"[3510,4095]",6
342,"[3510,4095]",6
343,"[3510,4095]",6
344,"[3510,4095]",6
345,"[3510,4095]",6
346,"[3510,4095]",6
347,"[3510,4095]",6
348,"[585,1170)",1
349,"[585,1170)",1
350,"[585,1170)",1
351,"[585,1170)",1
352,"[585,1170)",1
353,"[1170,1755)",2
354,"[1170,1755)",2
355,"[1170,1755)",2
356,"[1170,1755)",2
357,"[3510,4095]",6
358,"[3510,4095]",6
359,"[3510,4095]",6
360,"[3510,4095]",6
361,"[3510,4095]",6
362,"[1755,2340)",3
363,"[1170,1755)",2
364,"[1170,1755)",2
365,"[1170,1755)",2
366,"[585,1170)",1
367,"[585,1170)",1
368,"[585,1170)",1
369,"[585,1170)",1
370,"[585,1170)",1
371,"[1170,1755)",2
372,"[1170,1755)",2
373,"[1170,1755)",2
374,"[1170,1755)",2
375,"[1170,1755)",2
376,"[1170,1755)",2
377,"[1170,1755)",2
378,"[1170,1755)",2
379,"[3510,4095]",6
380,"[3510,4095]",6
381,"[3510,4095]",6
382,"[3510,4095]",6
383,"[3510,4095]",6
384,"[3510,4095]",6
385,"[1755,2340)",3
386,"[585,1170)",1
387,"[585,1170)",1
388,"[585,1170)",1
389,"[3510,4095]",6
390,"[1170,1755)",2
391,"[3510,4095]",6
392,"[3510,4095]",6
393,"[3510,4095]",6
394,"[3510,4095]",6
395,"[3510,4095]",6
396,"[0,585)",0
397,"[0,585)",0
398,"[0,585)",0
399,"[0,585)",0
400,"[0,585)",0
401,"[0,585)",0
402,"[3510,4095]",6
403,"[3510,4095]",6
404,"[3510,4095]",6
405,"[3510,4095]",6
406,"[3510,4095]",6
407,"[3510,4095]",6
408,"[3510,4095]",6
409,"[3510,4095]",6
410,"[3510,4095]",6
411,"[3510,4095]",6
412,"[3510,4095]",6
413,"[3510,4095]",6
414,"[3510,4095]",6
415,"[3510,4095]",6
416,"[3510,4095]",6
417,"[3510,4095]",6
418,"[3510,4095]",6
419,"[3510,4095]",6
420,"[3510,4095]",6
421,"[3510,4095]",6
422,"[3510,4095]",6
423,"[3510,4095]",6
424,"[3510,4095]",6
425,"[3510,4095]",6
426,"[3510,4095]",6
427,"[3510,4095]",6
428,"[3510,4095]",6
429,"[3510,4095]",6
430,"[3510,4095]",6
431,"[3510,4095]",6
432,"[3510,4095]",6
433,"[3510,4095]",6
434,"[3510,4095]",6
435,"[3510,4095]",6
436,"[3510,4095]",6
437,"[3510,4095]",6
438,"[3510,4095]",6
439,"[3510,4095]",6
440,"[3510,4095]",6
441,"[3510,4095]",6
442,"[3510,4095]",6
443,"[3510,4095]",6
444,"[3510,4095]",6
445,"[3510,4095]",6
446,"[3510,4095]",6
447,"[3510,4095]",6
448,"[3510,4095]",6
449,"[3510,4095]",6
450,"[3510,4095]",6
451,"[3510,4095]",6
452,"[3510,4095]",6
453,"[3510,4095]",6
454,"[3510,4095]",6
455,"[3510,4095]",6
456,"[3510,4095]",6
457,"[3510,4095]",6
458,"[3510,4095]",6
459,"[3510,4095]",6
460,"[3510,4095]",6
461,"[3510,4095]",6
462,"[3510,4095]",6
463,"[3510,4095]",6
464,"[3510,4095]",6
465,"[3510,4095]",6
466,"[3510,4095]",6
467,"[3510,4095]",6
468,"[3510,4095]",6
469,"[3510,4095]",6
470,"[3510,4095]",6
471,"[3510,4095]",6
472,"[3510,4095]",6
473,"[3510,4095]",6
474,"[3510,4095]",6
475,"[3510,4095]",6
476,"[3510,4095]",6
477,"[3510,4095]",6
478,"[3510,4095]",6
479,"[3510,4095]",6
480,"[3510,4095]",6
481,"[3510,4095]",6
482,"[3510,4095]",6
483,"[3510,4095]",6
484,"[3510,4095]",6
485,"[3510,4095]",6
486,"[3510,4095]",6
487,"[3510,4095]",6
488,"[3510,4095]",6
489,"[3510,4095]",6
490,"[3510,4095]",6
491,"[3510,4095]",6
492,"[3510,4095]",6
493,"[3510,4095]",6
494,"[3510,4095]",6
495,"[1755,2340)",3
496,"[1170,1755)",2
497,"[1170,1755)",2
498,"[1170,1755)",2
499,"[1170,1755)",2
500,"[1170,1755)",2
501,"[1170,1755)",2
502,"[1170,1755)",2
503,"[1170,1755)",2
504,"[1170,1755)",2
505,"[1170,1755)",2
506,"[1170,1755)",2
507,"[1170,1755)",2
508,"[1170,1755)",2
509,"[3510,4095]",6
510,"[3510,4095]",6
511,"[3510,4095]",6
512,"[3510,4095]",6
513,"[3510,4095]",6
514,"[3510,4095]",6
515,"[3510,4095]",6
516,"[3510,4095]",6
517,"[3510,4095]",6
518,"[3510,4095]",6
519,"[3510,4095]",6
520,"[3510,4095]",6
521,"[3510,4095]",6
522,"[3510,4095]",6
523,"[3510,4095]",6
524,"[3510,4095]",6
525,"[3510,4095]",6
526,"[3510,4095]",6
527,"[3510,4095]",6
528,"[3510,4095]",6
529,"[3510,4095]",6
530,"[3510,4095]",6
531,"[3510,4095]",6
532,"[3510,4095]",6
533,"[3510,4095]",6
534,"[3510,4095]",6
535,"[3510,4095]",6
536,"[3510,4095]",6
537,"[3510,4095]",6
538,"[3510,4095]",6
539,"[3510,4095]",6
540,"[3510,4095]",6
541,"[3510,4095]",6
542,"[3510,4095]",6
543,"[3510,4095]",6
544,"[3510,4095]",6
545,"[3510,4095]",6
546,"[3510,4095]",6
547,"[3510,4095]",6
548,"[3510,4095]",6
549,"[3510,4095]",6
550,"[3510,4095]",6
551,"[3510,4095]",6
552,"[3510,4095]",6
553,"[3510,4095]",6
554,"[3510,4095]",6
555,"[3510,4095]",6
556,"[3510,4095]",6
557,"[3510,4095]",6
558,"[3510,4095]",6
559,"[3510,4095]",6
560,"[3510,4095]",6
561,"[3510,4095]",6
562,"[3510,4095]",6
563,"[3510,4095]",6
564,"[3510,4095]",6
565,"[3510,4095]",6
566,"[3510,4095]",6
567,"[3510,4095]",6
568,"[3510,4095]",6
569,"[3510,4095]",6
570,"[3510,4095]",6
571,"[3510,4095]",6
572,"[3510,4095]",6
573,"[3510,4095]",6
574,"[3510,4095]",6
575,"[3510,4095]",6
576,"[3510,4095]",6
577,"[3510,4095]",6
578,"[3510,4095]",6
579,"[3510,4095]",6
580,"[3510,4095]",6
581,"[3510,4095]",6
582,"[1170,1755)",2
583,"[3510,4095]",6
584,"[3510,4095]",6
585,"[3510,4095]",6
586,"[3510,4095]",6
587,"[3510,4095]",6
588,"[3510,4095]",6
589,"[3510,4095]",6
590,"[585,1170)",1
591,"[585,1170)",1
592,"[585,1170)",1
593,"[585,1170)",1
594,"[585,1170)",1
595,"[585,1170)",1
596,"[585,1170)",1
597,"[585,1170)",1
598,"[585,1170)",1
599,"[585,1170)",1
600,"[585,1170)",1
601,"[585,1170)",1
602,"[585,1170)",1
603,"[3510,4095]",6
604,"[3510,4095]",6
605,"[3510,4095]",6
606,"[3510,4095]",6
607,"[3510,4095]",6
608,"[3510,4095]",6
609,"[3510,4095]",6
610,"[3510,4095]",6
611,"[3510,4095]",6
612,"[3510,4095]",6
613,"[3510,4095]",6
614,"[3510,4095]",6
615,"[3510,4095]",6
616,"[3510,4095]",6
617,"[3510,4095]",6
618,"[3510,4095]",6
619,"[3510,4095]",6
620,"[3510,4095]",6
621,"[3510,4095]",6
622,"[3510,4095]",6
623,"[3510,4095]",6
624,"[3510,4095]",6
625,"[3510,4095]",6
626,"[3510,4095]",6
627,"[3510,4095]",6
628,"[3510,4095]",6
629,"[3510,4095]",6
630,"[3510,4095]",6
631,"[3510,4095]",6
632,"[3510,4095]",6
633,"[3510,4095]",6
634,"[3510,4095]",6
635,"[1170,1755)",2
636,"[1170,1755)",2
637,"[585,1170)",1
638,"[1170,1755)",2
639,"[1170,1755)",2
640,"[1755,2340)",3
641,"[1170,1755)",2
642,"[1170,1755)",2
643,"[1170,1755)",2
644,"[1170,1755)",2
645,"[1170,1755)",2
646,"[1170,1755)",2
647,"[1170,1755)",2
648,"[1170,1755)",2
649,"[1170,1755)",2
650,"[1170,1755)",2
651,"[3510,4095]",6
652,"[3510,4095]",6
653,"[3510,4095]",6
654,"[3510,4095]",6
655,"[3510,4095]",6
656,"[3510,4095]",6
657,"[0,585)",0
658,"[0,585)",0
659,"[0,585)",0
660,"[0,585)",0
661,"[0,585)",0
662,"[0,585)",0
663,"[3510,4095]",6
664,"[3510,4095]",6
665,"[3510,4095]",6
666,"[3510,4095]",6
667,"[3510,4095]",6
668,"[3510,4095]",6
669,"[3510,4095]",6
670,"[3510,4095]",6
671,"[3510,4095]",6
672,"[1755,2340)",3
673,"[1755,2340)",3
674,"[1170,1755)",2
675,"[1170,1755)",2
676,"[1170,1755)",2
677,"[1170,1755)",2
678,"[1170,1755)",2
679,"[1170,1755)",2
680,"[1170,1755)",2
681,"[1170,1755)",2
682,"[3510,4095]",6
683,"[3510,4095]",6
684,"[3510,4095]",6
685,"[3510,4095]",6
686,"[3510,4095]",6
687,"[3510,4095]",6
688,"[3510,4095]",6
689,"[1755,2340)",3
690,"[1170,1755)",2
691,"[1170,1755)",2
692,"[585,1170)",1
693,"[585,1170)",1
694,"[585,1170)",1
695,"[585,1170)",1
696,"[1170,1755)",2
697,"[1170,1755)",2
698,"[1170,1755)",2
699,"[3510,4095]",6
700,"[3510,4095]",6
701,"[3510,4095]",6
702,"[3510,4095]",6
703,"[3510,4095]",6
704,"[3510,4095]",6
705,"[1170,1755)",2
706,"[3510,4095]",6
707,"[3510,4095]",6
708,"[3510,4095]",6
709,"[3510,4095]",6
710,"[3510,4095]",6
711,"[3510,4095]",6
712,"[3510,4095]",6
713,"[3510,4095]",6
714,"[3510,4095]",6
715,"[3510,4095]",6
716,"[3510,4095]",6
717,"[3510,4095]",6
718,"[3510,4095]",6
719,"[3510,4095]",6
720,"[3510,4095]",6
721,"[3510,4095]",6
722,"[3510,4095]",6
723,"[3510,4095]",6
724,"[3510,4095]",6
725,"[3510,4095]",6
726,"[3510,4095]",6
727,"[3510,4095]",6
728,"[3510,4095]",6
729,"[3510,4095]",6
730,"[3510,4095]",6
731,"[3510,4095]",6
732,"[3510,4095]",6
733,"[3510,4095]",6
734,"[3510,4095]",6
735,"[3510,4095]",6
736,"[3510,4095]",6
737,"[3510,4095]",6
738,"[3510,4095]",6
739,"[3510,4095]",6
740,"[3510,4095]",6
741,"[3510,4095]",6
742,"[3510,4095]",6
743,"[3510,4095]",6
744,"[3510,4095]",6
745,"[3510,4095]",6
746,"[3510,4095]",6
747,"[3510,4095]",6
748,"[3510,4095]",6
749,"[3510,4095]",6
750,"[3510,4095]",6
751,"[3510,4095]",6
752,"[3510,4095]",6
753,"[3510,4095]",6
754,"[3510,4095]",6
755,"[3510,4095]",6
756,"[3510,4095]",6
757,"[3510,4095]",6
758,"[1170,1755)",2
759,"[1755,2340)",3
760,"[1755,2340)",3
761,"[3510,4095]",6
762,"[3510,4095]",6
763,"[3510,4095]",6
764,"[3510,4095]",6
765,"[3510,4095]",6
766,"[3510,4095]",6
767,"[3510,4095]",6
768,"[1755,2340)",3
769,"[1170,1755)",2
770,"[1170,1755)",2
771,"[3510,4095]",6
772,"[1755,2340)",3
773,"[3510,4095]",6
774,"[3510,4095]",6
775,"[3510,4095]",6
776,"[3510,4095]",6
777,"[3510,4095]",6
778,"[3510,4095]",6
779,"[3510,4095]",6
780,"[1755,2340)",3
781,"[1170,1755)",2
782,"[1170,1755)",2
783,"[1170,1755)",2
784,"[585,1170)",1
785,"[0,585)",0
786,"[0,585)",0
787,"[0,585)",0
788,"[0,585)",0
789,"[0,585)",0
790,"[0,585)",0
791,"[0,585)",0
792,"[0,585)",0
793,"[0,585)",0
794,"[0,585)",0
795,"[0,585)",0
796,"[0,585)",0
797,"[0,585)",0
798,"[0,585)",0
799,"[0,585)",0
800,"[0,585)",0
801,"[0,585)",0
802,"[0,585)",0
803,"[0,585)",0
804,"[0,585)",0
805,"[0,585)",0
806,"[0,585)",0
807,"[0,585)",0
808,"[0,585)",0
809,"[0,585)",0
810,"[0,585)",0
811,"[0,585)",0
812,"[0,585)",0
813,"[0,585)",0
814,"[0,585)",0
815,"[0,585)",0
816,"[0,585)",0
817,"[0,585)",0
818,"[0,585)",0
819,"[0,585)",0
820,"[0,585)",0
821,"[0,585)",0
822,"[3510,4095]",6
823,"[1170,1755)",2
824,"[1170,1755)",2
825,"[1170,1755)",2
826,"[1170,1755)",2
827,"[1170,1755)",2
828,"[1170,1755)",2
829,"[1170,1755)",2
830,"[1170,1755)",2
831,"[1170,1755)",2
832,"[3510,4095]",6
833,"[3510,4095]",6
834,"[3510,4095]",6
835,"[3510,4095]",6
836,"[3510,4095]",6
837,"[3510,4095]",6
838,"[3510,4095]",6
839,"[3510,4095]",6
840,"[3510,4095]",6
841,"[3510,4095]",6
842,"[3510,4095]",6
843,"[3510,4095]",6
844,"[3510,4095]",6
845,"[3510,4095]",6
846,"[3510,4095]",6
847,"[1170,1755)",2
848,"[3510,4095]",6
849,"[3510,4095]",6
850,"[3510,4095]",6
851,"[3510,4095]",6
852,"[3510,4095]",6
853,"[3510,4095]",6
854,"[3510,4095]",6
855,"[3510,4095]",6
856,"[3510,4095]",6
857,"[3510,4095]",6
858,"[3510,4095]",6
859,"[3510,4095]",6
860,"[3510,4095]",6
861,"[3510,4095]",6
862,"[3510,4095]",6
863,"[3510,4095]",6
864,"[3510,4095]",6
865,"[3510,4095]",6
866,"[3510,4095]",6
867,"[3510,4095]",6
868,"[3510,4095]",6
869,"[3510,4095]",6
870,"[3510,4095]",6
871,"[3510,4095]",6
872,"[3510,4095]",6
873,"[3510,4095]",6
874,"[3510,4095]",6
875,"[1170,1755)",2
876,"[585,1170)",1
877,"[585,1170)",1
878,"[585,1170)",1
879,"[1170,1755)",2
880,"[1170,1755)",2
881,"[1170,1755)",2
882,"[1170,1755)",2
883,"[1170,1755)",2
884,"[1170,1755)",2
885,"[1170,1755)",2
886,"[1755,2340)",3
887,"[3510,4095]",6
888,"[3510,4095]",6
889,"[3510,4095]",6
890,"[3510,4095]",6
891,"[3510,4095]",6
892,"[3510,4095]",6
893,"[3510,4095]",6
894,"[3510,4095]",6
895,"[3510,4095]",6
896,"[3510,4095]",6
897,"[3510,4095]",6
898,"[3510,4095]",6
899,"[3510,4095]",6
900,"[3510,4095]",6
901,"[3510,4095]",6
902,"[3510,4095]",6
903,"[3510,4095]",6
904,"[3510,4095]",6
905,"[3510,4095]",6
906,"[3510,4095]",6
907,"[3510,4095]",6
908,"[3510,4095]",6
909,"[3510,4095]",6
910,"[3510,4095]",6
911,"[3510,4095]",6
912,"[3510,4095]",6
913,"[3510,4095]",6
914,"[3510,4095]",6
915,"[3510,4095]",6
916,"[3510,4095]",6
917,"[3510,4095]",6
918,"[3510,4095]",6
919,"[3510,4095]",6
920,"[3510,4095]",6
921,"[3510,4095]",6
922,"[3510,4095]",6
923,"[3510,4095]",6
924,"[3510,4095]",6
925,"[3510,4095]",6
926,"[3510,4095]",6
927,"[3510,4095]",6
928,"[3510,4095]",6
929,"[3510,4095]",6
930,"[3510,4095]",6
931,"[3510,4095]",6
932,"[3510,4095]",6
933,"[3510,4095]",6
934,"[3510,4095]",6
935,"[3510,4095]",6
936,"[3510,4095]",6
937,"[3510,4095]",6
938,"[3510,4095]",6
939,"[3510,4095]",6
940,"[3510,4095]",6
941,"[3510,4095]",6
942,"[3510,4095]",6
943,"[3510,4095]",6
944,"[3510,4095]",6
945,"[3510,4095]",6
946,"[3510,4095]",6
947,"[3510,4095]",6
948,"[0,585)",0
949,"[0,585)",0
950,"[0,585)",0
951,"[0,585)",0
952,"[0,585)",0
953,"[0,585)",0
954,"[0,585)",0
955,"[3510,4095]",6
956,"[3510,4095]",6
957,"[3510,4095]",6
958,"[3510,4095]",6
959,"[3510,4095]",6
960,"[3510,4095]",6
961,"[3510,4095]",6
962,"[3510,4095]",6
963,"[3510,4095]",6
964,"[1170,1755)",2
965,"[1170,1755)",2
966,"[1170,1755)",2
967,"[3510,4095]",6
968,"[3510,4095]",6
969,"[3510,4095]",6
970,"[3510,4095]",6
971,"[3510,4095]",6
972,"[3510,4095]",6
973,"[3510,4095]",6
974,"[3510,4095]",6
975,"[3510,4095]",6
976,"[3510,4095]",6
977,"[3510,4095]",6
978,"[3510,4095]",6
979,"[3510,4095]",6
980,"[3510,4095]",6
981,"[3510,4095]",6
982,"[3510,4095]",6
983,"[3510,4095]",6
984,"[3510,4095]",6
985,"[3510,4095]",6
986,"[3510,4095]",6
987,"[3510,4095]",6
988,"[3510,4095]",6
989,"[3510,4095]",6
990,"[3510,4095]",6
991,"[3510,4095]",6
992,"[3510,4095]",6
993,"[3510,4095]",6
994,"[3510,4095]",6
995,"[3510,4095]",6
996,"[3510,4095]",6
997,"[3510,4095]",6
998,"[3510,4095]",6
999,"[3510,4095]",6
1000,"[3510,4095]",6
1001,"[3510,4095]",6
1002,"[3510,4095]",6
1003,"[3510,4095]",6
1004,"[3510,4095]",6
1005,"[3510,4095]",6
1006,"[3510,4095]",6
1007,"[3510,4095]",6
1008,"[3510,4095]",6
1009,"[3510,4095]",6
1010,"[3510,4095]",6
1011,"[3510,4095]",6
1012,"[3510,4095]",6
1013,"[3510,4095]",6
1014,"[3510,4095]",6
1015,"[3510,4095]",6
1016,"[3510,4095]",6
1017,"[3510,4095]",6
1018,"[3510,4095]",6
1019,"[3510,4095]",6
1020,"[3510,4095]",6
1021,"[3510,4095]",6
1022,"[3510,4095]",6
1023,"[3510,4095]",6
1024,"[3510,4095]",6
1025,"[3510,4095]",6
1026,"[3510,4095]",6
1027,"[3510,4095]",6
1028,"[3510,4095]",6
1029,"[3510,4095]",6
1030,"[3510,4095]",6
1031,"[3510,4095]",6
1032,"[3510,4095]",6
1033,"[3510,4095]",6
1034,"[3510,4095]",6
1035,"[3510,4095]",6
1036,"[3510,4095]",6
1037,"[3510,4095]",6
1038,"[3510,4095]",6
1039,"[3510,4095]",6
1040,"[1170,1755)",2
1041,"[1170,1755)",2
1042,"[1170,1755)",2
1043,"[1755,2340)",3
1044,"[3510,4095]",6
1045,"[3510,4095]",6
1046,"[3510,4095]",6
1047,"[1170,1755)",2
1048,"[3510,4095]",6
1049,"[3510,4095]",6
1050,"[3510,4095]",6
1051,"[3510,4095]",6
1052,"[3510,4095]",6
1053,"[3510,4095]",6
1054,"[3510,4095]",6
1055,"[3510,4095]",6
1056,"[3510,4095]",6
1057,"[3510,4095]",6
1058,"[3510,4095]",6
1059,"[3510,4095]",6
1060,"[1755,2340)",3
1061,"[2925,3510)",5
1062,"[1170,1755)",2
1063,"[1170,1755)",2
1064,"[1755,2340)",3
1065,"[1755,2340)",3
1066,"[1755,2340)",3
1067,"[3510,4095]",6
1068,"[3510,4095]",6
1069,"[3510,4095]",6
1070,"[1170,1755)",2
1071,"[1170,1755)",2
1072,"[1170,1755)",2
1073,"[1170,1755)",2
1074,"[1170,1755)",2
1075,"[1170,1755)",2
1076,"[1170,1755)",2
1077,"[1170,1755)",2
1078,"[1170,1755)",2
1079,"[1755,2340)",3
1080,"[1755,2340)",3
1081,"[2340,2925)",4
1082,"[2340,2925)",4
1083,"[1170,1755)",2
1084,"[1170,1755)",2
1085,"[1170,1755)",2
